user_id,segment,total_orders,total_spend,cancellation_rate,total_events,viewed_products,completed_orders
U000088,3,7.0,2405.88,0.42857142857142855,8.0,8.0,0.0
U000089,0,2.0,304.79,1.0,8.0,8.0,0.0
U000090,2,2.0,368.3,0.0,9.0,9.0,1.0
U000091,1,1.0,457.74,0.0,6.0,6.0,0.0
U000092,1,2.0,543.08,0.0,5.0,5.0,0.0
U000093,1,2.0,269.51,0.0,8.0,8.0,0.0
U000094,1,1.0,302.06,0.0,6.0,6.0,0.0
U000095,2,2.0,76.41,0.0,12.0,11.0,0.0
U000096,0,3.0,1258.4099999999999,0.6666666666666666,1.0,1.0,0.0
U000097,3,3.0,3956.5099999999998,0.0,7.0,7.0,3.0
U000098,0,2.0,739.95,0.5,7.0,7.0,0.0
U000099,1,1.0,22.25,0.0,6.0,6.0,1.0
U000100,2,0.0,0.0,0.0,9.0,9.0,0.0
U000101,0,1.0,307.82,1.0,10.0,10.0,0.0
U000102,3,2.0,336.63,0.0,9.0,9.0,2.0
U000103,1,2.0,475.43,0.0,5.0,5.0,0.0
U000104,0,2.0,1388.8100000000002,1.0,4.0,4.0,0.0
U000105,2,0.0,0.0,0.0,10.0,10.0,0.0
U000106,1,2.0,594.75,0.0,8.0,8.0,1.0
U000107,3,4.0,900.8,0.0,8.0,8.0,2.0
U000108,0,1.0,15.29,1.0,12.0,12.0,0.0
U000109,2,0.0,0.0,0.0,11.0,11.0,0.0
U000110,2,0.0,0.0,0.0,10.0,10.0,0.0
U000111,2,3.0,2106.75,0.0,11.0,11.0,1.0
U000112,2,1.0,234.41,0.0,12.0,12.0,0.0
U000113,1,0.0,0.0,0.0,8.0,8.0,0.0
U000114,1,2.0,1278.09,0.0,5.0,5.0,0.0
U000115,0,2.0,266.44,0.5,7.0,7.0,0.0
U000116,0,2.0,1445.6000000000001,0.5,6.0,6.0,0.0
U000117,0,3.0,2378.43,0.3333333333333333,9.0,9.0,0.0
U000118,1,2.0,3541.54,0.0,5.0,5.0,0.0
U000119,3,6.0,6665.530000000001,0.16666666666666666,6.0,6.0,0.0
U000120,1,3.0,1164.73,0.0,6.0,6.0,0.0
U000121,3,5.0,3613.94,0.0,12.0,12.0,1.0
U000122,2,0.0,0.0,0.0,11.0,11.0,0.0
U000123,2,1.0,766.52,0.0,9.0,9.0,1.0
U000124,2,1.0,248.41,0.0,10.0,10.0,0.0
U000125,1,2.0,1023.19,0.0,7.0,7.0,0.0
U000126,2,2.0,464.61,0.0,9.0,9.0,0.0
U000127,3,6.0,5147.18,0.3333333333333333,4.0,4.0,1.0
U000128,0,1.0,150.32,1.0,9.0,9.0,0.0
U000129,2,0.0,0.0,0.0,12.0,12.0,0.0
U000130,0,2.0,266.45,0.5,8.0,8.0,1.0
U000131,1,4.0,1138.86,0.25,6.0,6.0,0.0
U000132,1,1.0,222.45,0.0,6.0,6.0,0.0
U000133,1,0.0,0.0,0.0,8.0,8.0,0.0
U000134,1,2.0,1234.26,0.0,7.0,7.0,0.0
U000135,1,0.0,0.0,0.0,7.0,7.0,0.0
U000136,3,3.0,4246.74,0.0,7.0,7.0,0.0
U000137,3,2.0,1622.9,0.0,8.0,8.0,1.0
U000138,1,0.0,0.0,0.0,3.0,3.0,0.0
U000139,3,3.0,1481.58,0.3333333333333333,5.0,5.0,2.0
U000140,0,1.0,283.47,1.0,12.0,12.0,0.0
U000141,2,2.0,239.78,0.0,12.0,12.0,1.0
U000142,2,2.0,1569.4099999999999,0.0,11.0,11.0,0.0
U000143,1,1.0,218.7,0.0,7.0,7.0,0.0
U000144,0,1.0,892.92,1.0,10.0,9.0,0.0
U000145,0,2.0,1779.46,0.5,7.0,7.0,0.0
U000146,3,3.0,3263.04,0.3333333333333333,6.0,6.0,0.0
U000147,2,2.0,798.85,0.5,14.0,14.0,0.0
U000148,1,0.0,0.0,0.0,6.0,6.0,0.0
U000149,2,2.0,344.46000000000004,0.0,13.0,13.0,1.0
U000150,2,0.0,0.0,0.0,9.0,9.0,0.0
U000151,1,2.0,461.2,0.0,4.0,4.0,0.0
U000152,1,1.0,4.87,0.0,8.0,8.0,0.0
U000153,0,3.0,1908.06,0.3333333333333333,8.0,8.0,0.0
U000154,1,2.0,1289.05,0.0,7.0,7.0,1.0
U000155,2,1.0,4047.79,0.0,11.0,11.0,0.0
U000156,1,1.0,41.57,0.0,7.0,7.0,1.0
U000157,3,6.0,5666.250000000001,0.16666666666666666,10.0,10.0,0.0
U000158,1,2.0,1680.7,0.0,8.0,8.0,0.0
U000159,3,7.0,1771.7,0.2857142857142857,7.0,7.0,1.0
U000160,3,4.0,2364.5299999999997,0.25,7.0,7.0,1.0
U000161,3,4.0,1934.21,0.25,8.0,8.0,2.0
U000162,2,1.0,62.52,0.0,9.0,9.0,0.0
U000163,2,2.0,1383.88,0.0,13.0,13.0,1.0
U000164,2,1.0,179.19,0.0,9.0,9.0,0.0
U000165,0,2.0,189.24,0.5,6.0,6.0,0.0
U000166,2,3.0,389.84,0.3333333333333333,11.0,11.0,1.0
U000167,1,1.0,1324.11,0.0,5.0,5.0,1.0
U000168,3,6.0,2113.44,0.5,8.0,8.0,1.0
U000169,2,2.0,1475.35,0.0,10.0,10.0,1.0
U000170,0,3.0,713.6899999999999,0.6666666666666666,3.0,3.0,0.0
U000171,2,2.0,1688.8,0.5,11.0,11.0,0.0
U000172,3,4.0,3196.81,0.25,10.0,10.0,1.0
U000173,1,1.0,1352.63,0.0,7.0,7.0,1.0
U000174,1,2.0,996.11,0.0,8.0,8.0,0.0
U000175,3,4.0,3955.1300000000006,0.0,5.0,5.0,0.0
U000176,1,1.0,172.07,0.0,7.0,7.0,0.0
U000177,2,0.0,0.0,0.0,9.0,9.0,0.0
U000178,2,2.0,1702.03,0.0,10.0,10.0,1.0
U000179,2,1.0,279.52,0.0,11.0,11.0,1.0
U000180,3,6.0,3617.44,0.16666666666666666,9.0,9.0,1.0
U000181,1,2.0,772.4300000000001,0.0,8.0,8.0,0.0
U000182,0,2.0,877.62,0.5,5.0,5.0,0.0
U000183,3,4.0,6193.0,0.0,6.0,6.0,2.0
U000184,1,0.0,0.0,0.0,7.0,7.0,0.0
U000185,0,2.0,2060.9,0.5,9.0,9.0,0.0
U000186,2,1.0,537.2,0.0,11.0,11.0,0.0
U000187,1,1.0,2518.61,0.0,7.0,7.0,1.0
U000188,3,5.0,5359.41,0.0,8.0,8.0,2.0
U000189,1,2.0,143.82,0.0,4.0,4.0,0.0
U000190,0,2.0,534.27,0.5,5.0,5.0,1.0
U000191,0,1.0,117.09,1.0,7.0,7.0,0.0
U000192,3,4.0,1445.8,0.0,7.0,7.0,2.0
U000193,2,2.0,768.83,0.0,9.0,9.0,0.0
U000194,1,0.0,0.0,0.0,3.0,3.0,0.0
U000195,1,1.0,97.57,0.0,6.0,6.0,0.0
U000196,1,3.0,1045.45,0.0,3.0,3.0,1.0
U000197,0,2.0,1039.92,0.5,8.0,8.0,0.0
U000198,1,1.0,432.22,0.0,8.0,8.0,0.0
U000199,2,2.0,638.78,0.5,13.0,13.0,0.0
U000200,1,1.0,71.29,0.0,4.0,4.0,1.0
U000201,3,3.0,3444.54,0.6666666666666666,5.0,5.0,1.0
U000202,2,4.0,1182.77,0.25,9.0,9.0,0.0
U000203,3,5.0,832.8599999999999,0.0,9.0,9.0,0.0
U000204,3,4.0,1505.8700000000001,0.0,6.0,6.0,2.0
U000205,0,1.0,1092.48,1.0,8.0,8.0,0.0
U000206,3,4.0,7260.030000000001,0.0,5.0,5.0,1.0
U000207,3,2.0,2231.8700000000003,0.5,10.0,10.0,1.0
U000208,1,2.0,1223.85,0.0,7.0,7.0,1.0
U000209,0,3.0,2717.6,0.3333333333333333,6.0,6.0,0.0
U000210,3,2.0,2548.26,0.5,8.0,8.0,1.0
U000211,1,1.0,115.81,0.0,4.0,4.0,0.0
U000212,0,3.0,852.3100000000001,0.6666666666666666,6.0,6.0,0.0
U000213,2,2.0,958.26,0.0,9.0,9.0,0.0
U000214,0,2.0,46.25,0.5,7.0,7.0,1.0
U000215,2,2.0,1799.9,0.0,10.0,10.0,1.0
U000216,0,3.0,1317.59,0.3333333333333333,7.0,7.0,0.0
U000217,3,6.0,5164.23,0.3333333333333333,6.0,6.0,2.0
U000218,3,5.0,2468.97,0.4,8.0,8.0,2.0
U000219,3,5.0,754.68,0.0,7.0,7.0,1.0
U000220,3,3.0,1541.78,0.0,7.0,7.0,1.0
U000221,2,1.0,193.38,0.0,9.0,9.0,0.0
U000222,1,3.0,435.40999999999997,0.0,6.0,6.0,0.0
U000223,1,0.0,0.0,0.0,7.0,7.0,0.0
U000224,1,1.0,1294.54,0.0,7.0,7.0,0.0
U000225,2,1.0,199.04,0.0,10.0,10.0,1.0
U000226,2,0.0,0.0,0.0,11.0,11.0,0.0
U000227,2,2.0,409.29,0.0,11.0,11.0,1.0
U000228,2,2.0,2491.59,0.0,15.0,15.0,0.0
U000229,1,0.0,0.0,0.0,8.0,8.0,0.0
U000230,2,0.0,0.0,0.0,10.0,10.0,0.0
U000231,3,3.0,3833.79,0.3333333333333333,10.0,10.0,0.0
U000232,1,3.0,273.96000000000004,0.0,4.0,4.0,1.0
U000233,1,2.0,2807.88,0.0,6.0,6.0,0.0
U000234,3,4.0,7153.88,0.25,8.0,8.0,1.0
U000235,2,2.0,132.83,0.0,10.0,9.0,1.0
U000236,1,0.0,0.0,0.0,5.0,5.0,0.0
U000237,2,0.0,0.0,0.0,10.0,10.0,0.0
U000238,0,1.0,26.49,1.0,13.0,12.0,0.0
U000239,0,1.0,441.04,1.0,8.0,8.0,0.0
U000240,2,0.0,0.0,0.0,11.0,11.0,0.0
U000241,2,0.0,0.0,0.0,9.0,9.0,0.0
U000242,3,2.0,1820.0700000000002,0.0,8.0,8.0,1.0
U000243,1,0.0,0.0,0.0,5.0,5.0,0.0
U000244,1,1.0,414.5,0.0,7.0,7.0,0.0
U000245,2,1.0,3613.4,0.0,12.0,12.0,1.0
U000246,2,0.0,0.0,0.0,11.0,11.0,0.0
U000247,1,0.0,0.0,0.0,7.0,7.0,0.0
U000248,2,1.0,120.22,0.0,11.0,11.0,0.0
U000249,2,0.0,0.0,0.0,9.0,9.0,0.0
U000250,1,3.0,487.05,0.0,6.0,6.0,1.0
U000251,1,1.0,451.74,0.0,8.0,8.0,0.0
U000252,2,0.0,0.0,0.0,10.0,9.0,0.0
U000253,3,3.0,1452.66,0.3333333333333333,10.0,10.0,1.0
U000254,2,1.0,184.85,1.0,16.0,15.0,0.0
U000255,0,3.0,1473.3799999999999,0.6666666666666666,8.0,8.0,1.0
U000256,2,0.0,0.0,0.0,10.0,10.0,0.0
U000257,2,2.0,1583.77,0.0,12.0,12.0,0.0
U000258,1,0.0,0.0,0.0,8.0,8.0,0.0
U000259,0,2.0,1059.73,1.0,8.0,8.0,0.0
U000260,2,1.0,315.42,0.0,13.0,13.0,0.0
U000261,3,3.0,3934.2900000000004,0.0,5.0,5.0,1.0
U000262,3,4.0,4977.379999999999,0.0,10.0,10.0,0.0
U000263,3,3.0,2717.7400000000002,0.0,6.0,6.0,1.0
U000264,3,4.0,800.31,0.0,4.0,4.0,3.0
U000265,0,1.0,41.44,1.0,5.0,5.0,0.0
U000266,1,0.0,0.0,0.0,5.0,5.0,0.0
U000267,2,2.0,204.9,0.5,11.0,11.0,1.0
U000268,2,1.0,166.78,0.0,10.0,10.0,0.0
U000269,2,2.0,1156.17,0.0,13.0,13.0,0.0
U000270,3,2.0,935.6800000000001,0.0,5.0,5.0,2.0
U000271,1,3.0,395.09,0.0,5.0,5.0,1.0
U000272,3,4.0,3601.3199999999997,0.5,7.0,7.0,2.0
U000273,3,3.0,1912.07,0.0,7.0,7.0,1.0
U000274,2,0.0,0.0,0.0,10.0,10.0,0.0
U000275,1,0.0,0.0,0.0,7.0,7.0,0.0
U000276,3,3.0,2504.9,0.3333333333333333,9.0,9.0,1.0
U000277,0,1.0,668.24,1.0,13.0,13.0,0.0
U000278,1,1.0,168.63,0.0,6.0,6.0,0.0
U000279,2,2.0,835.86,0.0,9.0,9.0,0.0
U000280,3,4.0,6495.07,0.25,7.0,7.0,0.0
U000281,1,0.0,0.0,0.0,7.0,7.0,0.0
U000282,2,4.0,677.99,0.0,11.0,11.0,0.0
U000283,1,1.0,1487.03,0.0,7.0,7.0,0.0
U000284,1,3.0,1119.76,0.0,5.0,5.0,0.0
U000285,2,0.0,0.0,0.0,10.0,10.0,0.0
U000286,3,5.0,2691.27,0.0,9.0,9.0,1.0
U000287,1,1.0,249.36,0.0,7.0,7.0,0.0
U000288,3,4.0,1290.54,0.25,9.0,8.0,0.0
U000289,3,4.0,3339.91,0.25,11.0,11.0,0.0
U000290,1,0.0,0.0,0.0,7.0,7.0,0.0
U000291,3,3.0,4352.07,0.3333333333333333,9.0,9.0,0.0
U000292,1,3.0,1613.58,0.0,6.0,6.0,0.0
U000293,1,1.0,29.43,0.0,4.0,4.0,0.0
U000294,2,1.0,168.1,1.0,15.0,14.0,0.0
U000295,2,4.0,617.52,0.25,14.0,14.0,2.0
U000296,2,1.0,39.34,0.0,10.0,10.0,0.0
U000297,1,1.0,63.71,0.0,5.0,5.0,1.0
U000298,1,0.0,0.0,0.0,4.0,4.0,0.0
U000299,3,5.0,2697.58,0.0,9.0,9.0,3.0
U000300,2,1.0,127.6,0.0,10.0,10.0,0.0
U000301,1,2.0,492.39,0.0,8.0,8.0,0.0
U000302,2,2.0,3096.84,0.0,13.0,13.0,1.0
U000303,0,3.0,166.34,0.6666666666666666,10.0,10.0,1.0
U000304,1,0.0,0.0,0.0,6.0,6.0,0.0
U000305,2,1.0,658.24,0.0,9.0,9.0,1.0
U000306,2,2.0,54.480000000000004,0.5,11.0,11.0,0.0
U000307,1,2.0,752.08,0.0,7.0,7.0,1.0
U000308,1,0.0,0.0,0.0,8.0,8.0,0.0
U000309,2,3.0,1236.0900000000001,0.0,11.0,11.0,1.0
U000310,2,2.0,374.98,0.0,12.0,12.0,0.0
U000311,1,1.0,118.8,0.0,7.0,7.0,1.0
U000312,3,5.0,1245.05,0.4,10.0,10.0,1.0
U000313,1,1.0,55.14,0.0,7.0,7.0,1.0
U000314,2,1.0,74.8,0.0,9.0,9.0,0.0
U000315,1,0.0,0.0,0.0,7.0,7.0,0.0
U000316,1,1.0,1101.68,0.0,7.0,7.0,0.0
U000317,2,2.0,505.62,0.0,13.0,13.0,1.0
U000318,1,2.0,2985.68,0.0,6.0,6.0,0.0
U000319,3,3.0,6877.950000000001,0.6666666666666666,8.0,8.0,0.0
U000320,0,1.0,256.27,1.0,3.0,3.0,0.0
U000321,3,4.0,1846.8,0.0,8.0,8.0,2.0
U000322,3,5.0,2153.46,0.0,12.0,12.0,3.0
U000323,3,2.0,3018.06,0.0,8.0,8.0,1.0
U000324,2,1.0,283.07,0.0,12.0,12.0,0.0
U000325,2,2.0,1708.47,0.0,12.0,12.0,0.0
U000326,1,2.0,1016.73,0.0,7.0,7.0,0.0
U000327,2,2.0,256.51,0.0,9.0,9.0,0.0
U000328,1,3.0,278.53,0.3333333333333333,4.0,4.0,0.0
U000329,0,2.0,663.35,0.5,5.0,5.0,0.0
U000330,1,2.0,928.01,0.5,3.0,3.0,0.0
U000331,2,4.0,1485.06,0.0,9.0,9.0,0.0
U000332,3,3.0,3225.4,0.0,8.0,8.0,1.0
U000333,1,2.0,1228.06,0.0,6.0,6.0,0.0
U000334,2,1.0,283.09,0.0,13.0,13.0,0.0
U000335,2,1.0,161.06,0.0,9.0,9.0,0.0
U000336,3,4.0,1860.6000000000001,0.0,7.0,7.0,2.0
U000337,1,3.0,854.1,0.0,4.0,4.0,1.0
U000338,2,2.0,2885.23,0.0,12.0,12.0,1.0
U000339,1,2.0,348.63,0.5,3.0,3.0,0.0
U000340,2,1.0,266.43,0.0,11.0,11.0,1.0
U000341,1,1.0,15.22,0.0,3.0,3.0,0.0
U000342,1,2.0,65.69,0.0,7.0,7.0,1.0
U000343,2,2.0,348.86,0.0,11.0,11.0,1.0
U000344,0,3.0,1332.77,1.0,8.0,8.0,0.0
U000345,3,3.0,3227.86,0.3333333333333333,11.0,11.0,1.0
U000346,2,1.0,739.74,0.0,10.0,10.0,1.0
U000347,2,3.0,803.1300000000001,0.3333333333333333,12.0,12.0,1.0
U000348,0,1.0,2012.94,1.0,7.0,7.0,0.0
U000349,3,3.0,1525.5500000000002,0.3333333333333333,8.0,8.0,2.0
U000350,1,0.0,0.0,0.0,3.0,3.0,0.0
U000351,1,0.0,0.0,0.0,7.0,7.0,0.0
U000352,3,4.0,785.41,0.0,10.0,10.0,1.0
U000353,2,3.0,1806.46,0.0,10.0,10.0,0.0
U000354,0,2.0,129.7,0.5,7.0,7.0,0.0
U000355,0,1.0,10.7,1.0,6.0,6.0,0.0
U000356,1,2.0,886.74,0.0,5.0,5.0,0.0
U000357,3,2.0,2238.85,0.0,7.0,7.0,1.0
U000358,2,2.0,187.79,0.0,13.0,13.0,1.0
U000359,1,0.0,0.0,0.0,7.0,7.0,0.0
U000360,0,2.0,375.46000000000004,0.5,8.0,8.0,1.0
U000361,1,1.0,11.08,0.0,6.0,6.0,0.0
U000362,3,5.0,2326.39,0.0,7.0,7.0,0.0
U000363,1,2.0,1172.79,0.0,7.0,7.0,1.0
U000364,1,2.0,231.29000000000002,0.0,2.0,2.0,0.0
U000365,1,0.0,0.0,0.0,8.0,8.0,0.0
U000366,1,2.0,436.02000000000004,0.0,2.0,2.0,0.0
U000367,1,2.0,1111.1,0.0,7.0,7.0,1.0
U000368,3,6.0,2712.54,0.0,5.0,5.0,2.0
U000369,0,3.0,1130.73,0.3333333333333333,6.0,6.0,0.0
U000370,1,0.0,0.0,0.0,3.0,3.0,0.0
U000371,3,4.0,492.0,0.0,7.0,7.0,1.0
U000372,3,2.0,754.0400000000001,0.0,6.0,6.0,2.0
U000373,1,2.0,1345.1,0.0,3.0,3.0,0.0
U000374,3,3.0,3470.35,0.0,12.0,12.0,1.0
U000375,2,2.0,263.06,0.0,12.0,12.0,2.0
U000376,2,1.0,1355.37,0.0,10.0,10.0,0.0
U000377,1,2.0,60.489999999999995,0.0,6.0,6.0,0.0
U000378,2,3.0,1944.46,0.0,10.0,9.0,0.0
U000379,2,3.0,1259.97,0.0,11.0,11.0,1.0
U000380,2,0.0,0.0,0.0,11.0,11.0,0.0
U000381,1,1.0,79.25,0.0,8.0,8.0,0.0
U000382,0,1.0,521.16,1.0,6.0,6.0,0.0
U000383,2,1.0,48.09,0.0,9.0,9.0,0.0
U000384,3,5.0,1500.0600000000002,0.2,9.0,9.0,1.0
U000385,1,1.0,50.2,0.0,4.0,4.0,1.0
U000386,3,3.0,6046.73,0.3333333333333333,7.0,7.0,1.0
U000387,1,3.0,1963.0899999999997,0.0,5.0,5.0,0.0
U000388,0,3.0,278.99,0.6666666666666666,4.0,4.0,0.0
U000389,0,3.0,4296.07,0.6666666666666666,10.0,10.0,0.0
U000390,2,4.0,1027.25,0.25,12.0,12.0,1.0
U000391,3,5.0,2745.77,0.2,4.0,4.0,1.0
U000392,1,2.0,1143.91,0.0,6.0,6.0,1.0
U000393,1,1.0,1560.67,0.0,8.0,8.0,1.0
U000394,3,3.0,6867.84,0.3333333333333333,5.0,5.0,1.0
U000395,2,2.0,2403.17,0.5,11.0,11.0,0.0
U000396,2,2.0,1710.17,0.0,10.0,10.0,1.0
U000397,2,2.0,117.71000000000001,0.0,12.0,12.0,1.0
U000398,1,2.0,1711.66,0.0,6.0,6.0,0.0
U000399,3,2.0,4314.48,0.0,7.0,7.0,1.0
U000400,2,2.0,3076.12,0.0,12.0,12.0,0.0
U000401,3,4.0,1558.05,0.0,7.0,7.0,0.0
U000402,2,0.0,0.0,0.0,12.0,12.0,0.0
U000403,1,2.0,125.49000000000001,0.0,8.0,8.0,1.0
U000404,1,2.0,208.61,0.0,4.0,4.0,0.0
U000405,0,1.0,1304.17,1.0,4.0,4.0,0.0
U000406,0,2.0,73.92,0.5,8.0,8.0,0.0
U000407,0,1.0,985.28,1.0,5.0,5.0,0.0
U000408,2,1.0,143.9,0.0,15.0,15.0,0.0
U000409,2,2.0,971.72,0.0,9.0,9.0,1.0
U000410,3,3.0,3284.83,0.0,7.0,7.0,1.0
U000411,3,6.0,2245.88,0.0,6.0,6.0,2.0
U000412,2,1.0,508.4,0.0,11.0,10.0,1.0
U000413,0,5.0,1467.17,0.4,5.0,5.0,0.0
U000414,2,2.0,2022.6599999999999,0.0,10.0,10.0,0.0
U000415,2,3.0,2557.91,0.0,16.0,15.0,0.0
U000416,3,6.0,5400.719999999999,0.3333333333333333,10.0,10.0,2.0
U000417,3,5.0,3841.7799999999997,0.2,4.0,4.0,1.0
U000418,2,1.0,2365.61,0.0,9.0,9.0,0.0
U000419,1,1.0,8.47,0.0,7.0,7.0,0.0
U000420,1,2.0,348.67,0.0,6.0,6.0,0.0
U000421,1,1.0,216.66,0.0,8.0,8.0,0.0
U000422,1,0.0,0.0,0.0,4.0,4.0,0.0
U000423,2,1.0,124.78,0.0,10.0,9.0,0.0
U000424,2,1.0,415.15,0.0,13.0,13.0,1.0
U000425,3,3.0,2430.5299999999997,0.0,8.0,8.0,1.0
U000426,1,3.0,1048.27,0.0,7.0,7.0,0.0
U000427,0,4.0,1672.5500000000002,0.5,8.0,8.0,0.0
U000428,0,1.0,193.75,1.0,5.0,5.0,0.0
U000429,1,3.0,1658.0900000000001,0.3333333333333333,2.0,2.0,1.0
U000430,2,1.0,2262.6,0.0,12.0,12.0,0.0
U000431,1,2.0,621.12,0.0,4.0,4.0,1.0
U000432,2,2.0,1167.3600000000001,0.5,10.0,10.0,1.0
U000433,0,3.0,2241.58,0.6666666666666666,8.0,8.0,0.0
U000434,1,1.0,81.54,0.0,7.0,7.0,0.0
U000435,3,5.0,1457.81,0.4,10.0,10.0,1.0
U000436,3,3.0,5479.34,0.3333333333333333,7.0,7.0,1.0
U000437,1,2.0,225.03,0.0,8.0,8.0,1.0
U000438,1,1.0,233.7,0.0,1.0,1.0,0.0
U000439,0,2.0,354.67,0.5,6.0,6.0,0.0
U000440,1,0.0,0.0,0.0,4.0,4.0,0.0
U000441,3,3.0,1626.67,0.0,12.0,12.0,3.0
U000442,1,2.0,754.03,0.0,8.0,8.0,0.0
U000443,1,0.0,0.0,0.0,4.0,4.0,0.0
